疫情地区,新增,现有,累计,治愈,死亡
西藏,0,0,1,1,0
澳门,0,0,1,1,0
青海,0,0,148,148,0
台湾,0,0,136,136,0
香港,757,273508,349298,66336,9454
贵州,0,1,186,183,2
吉林,0,0,10,9,1
榆树市瑞达世纪铭城（含MD理发店、新世纪超市、玉兰源生鲜超市）,0,0,191,191,0
长春榆树市瑞达世纪铭城（含MD理发店、新世纪超市、玉兰源生鲜超市）,0,0,11,11,0
新疆,0,0,1008,1005,3
宁夏,0,0,857,857,0
内蒙古,0,0,4,4,0
甘肃,0,0,305,305,0
张家川县张家川镇刘家村（不含五组）,0,0,9,9,0
文县中寨镇大海村大桥子至寺院桥以东，四河坝路以西，寺院桥至陶术德住宅以南，大桥子路以北区域,0,0,17,17,0
会宁县会宁县第四中学,0,5,28,23,0
七里河区土门墩街道怡宁嘉苑东苑小区,2,7,10,3,0
临洮县中铺镇上铺村,0,6,15,9,0
凉州区金沙物流园B区6栋1—5、7栋1—5（樱花前进轮胎店周边）,9,22,30,8,0
兰州七里河区土门墩街道怡宁嘉苑东苑小区,0,0,1,1,0
天津,5,36,2073,2034,3
新北街道首创国际小区45-56号楼,0,0,39,39,0
中北镇润姜家园小区A区3号楼,0,0,212,212,0
嘉陵道街罗江西里4、5、6号楼,0,0,46,46,0
上杭路街道来安里小区8、15、16、17、18号楼,0,0,36,35,1
东海街华江里1号楼、2号楼、6号楼、22号楼、23号楼、24号楼,0,0,122,122,0
双林街泓沪园5号楼、6号楼、7号楼、8号楼,0,0,8,8,0
南开区嘉陵道街罗江西里4、5、6号楼,0,0,41,41,0
山西,0,1,427,426,0
辽宁,0,0,20,20,0
振兴区浪头镇文斌村群平路3001号-3007号,0,0,7,6,1
丹东振兴区浪头镇文斌村群平路3001号-3007号,0,0,246,246,0
黑龙江,0,1,2990,2976,13
海南,0,0,5,5,0
定城镇定仙路54号仙沟卫生院,0,0,10,10,0
定安定城镇定仙路54号仙沟卫生院,0,0,2,2,0
河北,0,0,2007,2000,7
陕西,0,0,43,43,0
云南,0,0,3,3,0
广西,0,0,7,7,0
​海城区驿马街道西塘社区源丰路29号大成公寓b幢,0,0,34,34,0
凭祥市南兴国际小区3栋1单元,0,0,27,27,0
福建,9,110,3625,3514,1
上海,0,1,321,320,0
安亭镇新源路1025弄澳丽映象嘉园小区,0,1,2635,2632,2
九亭镇同利路19-59号、36-68号,0,0,113,112,1
浦锦街道浦晓路112弄华侨城六期小区,0,0,6618,6618,0
宝山路街道虬江路1150号局南村一支弄,1,10,3278,3267,1
四川北路街道四平路59号,0,0,3700,3700,0
友谊路街道宝林路宝林三村,1,11,3136,3124,1
新场镇申江南路5700号,0,12,17157,17144,1
五角场街道大学路沿街商铺区域及所在楼栋（大学路38-102号、191-265号、242-318号）,0,2,2407,2405,0
桃浦镇连亮路111弄,0,2,4702,4699,1
东平镇平悦路80弄瀛丰嘉苑小区,0,0,396,396,0
宝山区友谊路街道宝林路宝林三村,4,58,4852,4794,0
北京,2,20,3729,3700,9
六里屯街道六里屯北里6号、7号、10号、12-16号楼及底商,0,15,83,51,
李桥镇丰荣大厦(李桥镇李天路27号),0,15,732,677,
朝阳区六里屯街道六里屯北里6号、7号、10号、12-16号楼及底商,0,7,35,25,
江苏,0,25,2316,2291,0
赣榆区城头镇南杨村,0,1,160,159,0
连云港赣榆区城头镇南杨村,0,18,103,85,0
四川,15,107,2496,2386,3
洪雅县七里坪镇度假区F2、F3、F4、F5、A、B、D，E区,0,0,22,22,0
锦江区蜀都花园小区22栋,0,0,21,21,0
